,Class,Name,PA,R,HR,RBI,SB,OBP,IP,QS,SV,SO,ERA,WHIP,Total_SGPs,Dollar_Value,True_Dollar_Value,Keeper,Salary
254,Pitcher,Jake Odorizzi,x,x,x,x,x,x,172,18,0,179,4.59,1.31,6.260232033,8.650358719,5.499095588,,
255,Hitter,Austin Hays,446,53,19,59,8,0.299,x,x,x,x,x,x,6.267639131,8.643205212,5.491129766,,
256,Hitter,Maikel Franco,442,54,19,61,1,0.33,x,x,x,x,x,x,6.26378976,8.637896848,5.485218613,,
257,Hitter,David Fletcher,549,65,6,51,8,0.333,x,x,x,x,x,x,6.26031274,8.633101964,5.479879248,,
258,Hitter,Willson Contreras,408,50,16,56,3,0.342,x,x,x,x,x,x,6.244993615,8.611976572,5.456354969,TRUE,1
259,Hitter,Steven Souza Jr.,376,49,17,51,6,0.33,x,x,x,x,x,x,6.234381777,8.597342626,5.440059269,,
260,Hitter,Tyler O'Neill,449,53,22,63,5,0.297,x,x,x,x,x,x,6.194669145,8.542578077,5.37907595,TRUE,7
261,Pitcher,Marcus Stroman,x,x,x,x,x,x,179,16.5,0,154,3.9,1.35,6.16167268,8.514169876,5.347441866,,
262,Hitter,Hanser Alberto,582,63,12,61,6,0.315,x,x,x,x,x,x,6.140873074,8.468392171,5.296465889,TRUE,1
263,Hitter,Buster Posey,518,56,11,56,2,0.347,x,x,x,x,x,x,6.10980255,8.425545271,5.248753523,TRUE,1
264,Hitter,Evan White,526,58,19,63,3,0.31,x,x,x,x,x,x,6.104305279,8.41796442,5.24031183,,
265,Hitter,Nick Markakis,462,53,11,57,1,0.355,x,x,x,x,x,x,6.075074723,8.377654873,5.195424946,,
266,Pitcher,Joe Musgrove,x,x,x,x,x,x,179,15,0,163,4.27,1.28,6.033143021,8.336568208,5.149672698,,
267,Pitcher,Roberto Osuna,x,x,x,x,x,x,65,0,33,76,3.64,1.13,6.030636466,8.333104662,5.145815851,,
268,Hitter,Miguel Rojas,588,58,9,54,8,0.325,x,x,x,x,x,x,6.035378854,8.32291344,5.134467368,,
269,Pitcher,Kyle Hendricks,x,x,x,x,x,x,179,16.5,0,151,4.32,1.28,5.981397029,8.265065843,5.070050906,,
270,Hitter,Alex Dickerson,461,51,14,57,3,0.336,x,x,x,x,x,x,5.988079619,8.257686808,5.061833947,TRUE,2
271,Hitter,Brian Dozier,402,50,17,49,5,0.326,x,x,x,x,x,x,5.947387641,8.201571721,4.999346729,,
272,Hitter,Kevin Pillar,455,50,14,56,10,0.302,x,x,x,x,x,x,5.928850711,8.176008906,4.970881138,TRUE,4
273,Pitcher,Joey Lucchesi,x,x,x,x,x,x,185,16.5,0,177,4.34,1.35,5.913878562,8.171769148,4.966159935,,
274,Hitter,Luis Urias,493,52,13,55,4,0.333,x,x,x,x,x,x,5.914728606,8.15653423,4.949195021,TRUE,6
275,Pitcher,Brad Hand,x,x,x,x,x,x,65,0,33,80,3.68,1.19,5.900625922,8.153456713,4.945768038,TRUE,1
276,Pitcher,Taylor Rogers,x,x,x,x,x,x,65,0,31,77,3.44,1.16,5.862105398,8.100229237,4.886496333,,
277,Pitcher,Zac Gallen,x,x,x,x,x,x,145,13.5,0,159,4.21,1.28,5.827763285,8.052775469,4.833653969,,
278,Pitcher,Johnny Cueto,x,x,x,x,x,x,182,15,0,156,4.2,1.3,5.817886378,8.039127606,4.818456327,,
279,Pitcher,Kevin Gausman,x,x,x,x,x,x,155,13.5,0,146,4.05,1.27,5.816596813,8.037345692,4.816472068,,
280,Pitcher,Ken Giles,x,x,x,x,x,x,65,0,30,82,3.57,1.16,5.778651893,7.984913583,4.758086048,,
281,Pitcher,Jose Quintana,x,x,x,x,x,x,177,16.5,0,158,4.31,1.33,5.752474708,7.948742073,4.717807094,,
