,Class,Name,PA,R,HR,RBI,SB,OBP,IP,QS,SV,SO,ERA,WHIP,Total_SGPs,Dollar_Value,True_Dollar_Value,Keeper,Salary,Inflated_Value
172,Hitter,Kevin Newman,577,63,9,54,18,0.329,x,x,x,x,x,x,7.826713353,10.79320111,11.03937484,,,13.724417513393767
173,Pitcher,Brandon Woodruff,x,x,x,x,x,x,183,18,0,201,4.07,1.28,7.800304395,10.77842335,11.01633666,,,11.750946487064736
174,Hitter,Nomar Mazara,523,66,25,77,3,0.318,x,x,x,x,x,x,7.77714689,10.72484792,10.93281383,,,13.59193829123802
175,Hitter,Hunter Renfroe,560,69,30,82,4,0.293,x,x,x,x,x,x,7.771559914,10.71714337,10.9208026,,,13.577005639909602
176,Hitter,Kyle Seager,593,69,26,78,3,0.312,x,x,x,x,x,x,7.73624522,10.66844367,10.84488091,,,13.48261796062663
177,Hitter,Jesse Winker,482,62,17,57,3,0.368,x,x,x,x,x,x,7.701206077999999,10.62012396,10.76955162,True,4.0,13.388966767336093
178,Pitcher,Zack Wheeler,x,x,x,x,x,x,189,16.5,0,194,4.13,1.23,7.6674973689999995,10.59491124,10.73024558,,,11.445777802114021
179,Hitter,Willy Adames,595,67,18,69,7,0.326,x,x,x,x,x,x,7.68046236,10.59151794,10.72495551,True,3.0,13.333523805937997
180,Hitter,Brett Gardner,509,67,17,57,10,0.327,x,x,x,x,x,x,7.657258027,10.55951868,10.67506941,,,13.271504201165259
181,Pitcher,German Marquez,x,x,x,x,x,x,187,18,0,194,4.18,1.26,7.622613916000001,10.5328915,10.63355826,True,14.0,11.342643016171692
182,Hitter,Scott Kingery,605,65,19,69,15,0.294,x,x,x,x,x,x,7.618227851,10.50569525,10.59115995,True,12.0,13.16718593323303
183,Pitcher,Eduardo Rodriguez,x,x,x,x,x,x,193,19.5,0,201,4.2,1.31,7.593432935,10.49256936,10.57069699,,,11.275589925595673
184,Hitter,Brandon Nimmo,509,63,15,50,7,0.358,x,x,x,x,x,x,7.603871992,10.48589822,10.56029685,True,9.0,13.128816181657713
185,Hitter,Anthony Santander,582,68,24,78,5,0.306,x,x,x,x,x,x,7.598176349,10.47804381,10.54805201,,,13.113593100733258
186,Hitter,Avisail Garcia,502,61,21,70,6,0.324,x,x,x,x,x,x,7.580256706,10.45333225,10.50952726,True,11.0,13.065698200771775
